theta1,theta2,px,py
1,1,89.96801784,2.26860019
1,2,89.93756615,2.966058572
1,3,89.89494677,3.662879272
1,4,89.84017268,4.358850032
1,5,89.77326057,5.053758853
1,6,89.69423082,5.747394058
1,7,89.60310751,6.43954436
1,8,89.49991838,7.129998923
1,9,89.38469488,7.818547429
1,10,89.2574721,8.504980137
1,11,89.11828879,9.189087955
1,12,88.96718735,9.870662496
1,13,88.80421381,10.54949615
1,14,88.62941781,11.22538213
1,15,88.4428526,11.89811455
1,16,88.244575,12.56748851
1,17,88.03464541,13.2333001
1,18,87.81312778,13.8953465
1,19,87.58008959,14.55342605
1,20,87.33560182,15.2073383
1,21,87.07973894,15.85688406
1,22,86.8125789,16.50186546
1,23,86.53420306,17.14208604
1,24,86.24469624,17.77735079
1,25,85.94414661,18.40746619
1,26,85.63264573,19.03224031
1,27,85.31028847,19.65148283
1,28,84.97717304,20.26500513
1,29,84.63340091,20.87262032
1,30,84.27907679,21.47414332
1,31,83.9143086,22.06939089
1,32,83.53920748,22.65818172
1,33,83.15388766,23.24033646
1,34,82.75846653,23.81567778
1,35,82.35306453,24.38403041
1,36,81.93780516,24.94522125
1,37,81.5128149,25.49907933
1,38,81.07822322,26.04543596
1,39,80.63416248,26.58412471
1,40,80.18076797,27.11498148
1,41,79.71817778,27.63784458
1,42,79.24653282,28.15255472
1,43,78.76597677,28.65895514
1,44,78.27665601,29.15689157
1,45,77.77871958,29.64621234
1,46,77.27231916,30.12676839
1,47,76.75760901,30.59841334
1,48,76.23474592,31.06100353
1,49,75.70388915,31.51439805
1,50,75.1652004,31.95845878
1,51,74.61884377,32.39305047
1,52,74.06498568,32.81804072
1,53,73.50379485,33.2333001
1,54,72.93544221,33.63870209
1,55,72.3601009,34.03412322
1,56,71.77794616,34.41944304
1,57,71.18915533,34.79454417
1,58,70.59390775,35.15931235
1,59,69.99238476,35.51363647
1,60,69.38476957,35.85740861
1,61,68.77124727,36.19052404
1,62,68.15200475,36.51288129
1,63,67.52723063,36.82438217
1,64,66.89711523,37.1249318
1,65,66.26185048,37.41443863
1,66,65.6216299,37.69281446
1,67,64.97664849,37.9599745
1,68,64.32710274,38.21583738
1,69,63.67319049,38.46032515
1,70,63.01511094,38.69336335
1,71,62.35306453,38.91488097
1,72,61.68725295,39.12481056
1,73,61.01787899,39.32308816
1,74,60.34514656,39.50965337
1,75,59.66926058,39.68444937
1,76,58.99042693,39.84742291
1,77,58.30885239,39.99852435
1,78,57.62474457,40.13770766
1,79,56.93831186,40.26493044
1,80,56.24976336,40.38015395
1,81,55.5593088,40.48334307
1,82,54.86715849,40.57446639
1,83,54.17352329,40.65349614
1,84,53.47861447,40.72040825
1,85,52.78264371,40.77518233
1,86,52.08582301,40.81780171
1,87,51.38836463,40.8482534
1,88,50.69048102,40.86652813
1,89,49.99238476,40.87262032
1,90,49.2942885,40.86652813
1,91,48.59640489,40.8482534
1,92,47.89894651,40.81780171
1,93,47.20212581,40.77518233
1,94,46.50615505,40.72040825
1,95,45.81124623,40.65349614
1,96,45.11761102,40.57446639
1,97,44.42546072,40.48334307
1,98,43.73500616,40.38015395
1,99,43.04645765,40.26493044
1,100,42.36002494,40.13770766
1,101,41.67591713,39.99852435
1,102,40.99434258,39.84742291
1,103,40.31550893,39.68444937
1,104,39.63962295,39.50965337
1,105,38.96689053,39.32308816
1,106,38.29751657,39.12481056
1,107,37.63170498,38.91488097
1,108,36.96965858,38.69336335
1,109,36.31157902,38.46032515
1,110,35.65766678,38.21583738
1,111,35.00812102,37.9599745
1,112,34.36313962,37.69281446
1,113,33.72291903,37.41443863
1,114,33.08765429,37.1249318
1,115,32.45753889,36.82438217
1,116,31.83276477,36.51288129
1,117,31.21352225,36.19052404
1,118,30.59999995,35.85740861
1,119,29.99238476,35.51363647
1,120,29.39086176,35.15931235
1,121,28.79561419,34.79454417
1,122,28.20682336,34.41944304
1,123,27.62466862,34.03412322
1,124,27.0493273,33.63870209
1,125,26.48097467,33.2333001
1,126,25.91978383,32.81804072
1,127,25.36592574,32.39305047
1,128,24.81956912,31.95845878
1,129,24.28088037,31.51439805
1,130,23.7500236,31.06100353
1,131,23.2271605,30.59841334
1,132,22.71245036,30.12676839
1,133,22.20604994,29.64621234
1,134,21.70811351,29.15689157
1,135,21.21879274,28.65895514
1,136,20.73823669,28.15255472
1,137,20.26659174,27.63784458
1,138,19.80400155,27.11498148
1,139,19.35060703,26.58412471
1,140,18.9065463,26.04543596
1,141,18.47195461,25.49907933
1,142,18.04696436,24.94522125
1,143,17.63170498,24.38403041
1,144,17.22630299,23.81567778
1,145,16.83088186,23.24033646
1,146,16.44556204,22.65818172
1,147,16.07046091,22.06939089
1,148,15.70569273,21.47414332
1,149,15.35136861,20.87262032
1,150,15.00759647,20.26500513
1,151,14.67448104,19.65148283
1,152,14.35212379,19.03224031
1,153,14.04062291,18.40746619
1,154,13.74007328,17.77735079
1,155,13.45056645,17.14208604
1,156,13.17219062,16.50186546
1,157,12.90503058,15.85688406
1,158,12.6491677,15.2073383
1,159,12.40467993,14.55342605
1,160,12.17164173,13.8953465
1,161,11.95012411,13.2333001
1,162,11.74019452,12.56748851
1,163,11.54191692,11.89811455
1,164,11.35535171,11.22538213
1,165,11.18055571,10.54949615
1,166,11.01758217,9.870662496
1,167,10.86648073,9.189087955
1,168,10.72729742,8.504980137
1,169,10.60007464,7.818547429
1,170,10.48485113,7.129998923
1,171,10.38166201,6.43954436
1,172,10.29053869,5.747394058
1,173,10.21150894,5.053758853
1,174,10.14459683,4.358850032
1,175,10.08982275,3.662879272
1,176,10.04720337,2.966058572
1,177,10.01675168,2.26860019
1,178,9.998476952,1.570716579
1,179,9.992384758,0.872620322
1,180,9.998476952,0.174524064
2,0,89.94517443,3.140954703
2,1,89.91472274,3.838413085
2,2,89.87210336,4.535233785
2,3,89.81732927,5.231204545
2,4,89.75041717,5.926113366
2,5,89.67138742,6.619748571
2,6,89.5802641,7.311898874
2,7,89.47707497,8.002353437
2,8,89.36185147,8.690901942
2,9,89.23462869,9.37733465
2,10,89.09544538,10.06144247
2,11,88.94434394,10.74301701
2,12,88.7813704,11.42185066
2,13,88.6065744,12.09773664
2,14,88.42000919,12.77046907
2,15,88.22173159,13.43984302
2,16,88.011802,14.10565461
2,17,87.79028437,14.76770101
2,18,87.55724618,15.42578057
2,19,87.31275841,16.07969282
2,20,87.05689553,16.72923857
2,21,86.78973549,17.37421997
2,22,86.51135966,18.01444056
2,23,86.22185283,18.6497053
2,24,85.9213032,19.27982071
2,25,85.60980232,19.90459482
2,26,85.28744507,20.52383735
2,27,84.95432964,21.13735964
2,28,84.6105575,21.74497484
2,29,84.25623338,22.34649783
2,30,83.8914652,22.9417454
2,31,83.51636407,23.53053624
2,32,83.13104425,24.11269097
2,33,82.73562312,24.68803229
2,34,82.33022113,25.25638493
2,35,81.91496175,25.81757576
2,36,81.4899715,26.37143385
2,37,81.05537981,26.91779048
2,38,80.61131908,27.45647922
2,39,80.15792456,27.98733599
2,40,79.69533437,28.51019909
2,41,79.22368942,29.02490924
2,42,78.74313336,29.53130965
2,43,78.2538126,30.02924608
2,44,77.75587617,30.51856685
2,45,77.24947575,30.9991229
2,46,76.73476561,31.47076785
2,47,76.21190251,31.93335804
2,48,75.68104574,32.38675256
2,49,75.14235699,32.83081329
2,50,74.59600036,33.26540498
2,51,74.04214228,33.69039524
